name,type,German adress,Polish adress,city,year
Bazar Saal,Versammlungsraum,Neue Straße,Paderewskiego 8,Poznań,1893
Sterns Saal,Versammlungsraum,Wilhelmstraße,Al. Marcinkowskiego 1,Poznań,1893
polnisches Theater,,27 Grudnia 8/10,27 Grudnia 8/10,Poznań,1893
Keilers Saal,Versammlungsraum,Krämerstraße 19/20,Kramarska 19/20,Poznań,1893
Lambert's Saal,Versammlungsraum,Bäckerstr. 17,Piekary 17,Poznań,1893
Herfort,,Wronkerstraße 4,Wroniecka 4,Poznań,1893
Hotel de Sachs,,Breslauerstraße 15,Wrocławska 15,Poznań,1893
Tanzsaal,,Eichwaldstraße 1,Droga Dębińska 1,Poznań,1893
Tanzsaal,Versammlungsraum,Wasserstraße 27,Wodna 27,Poznań,1893
Saal der Freimaurerloge,,Graben 25,Grobla 25,Poznań,1893
Tanzlokal,Versammlungsraum,Vor dem Berliner Thor 6,Skośna 6,Poznań,1893
Tanzlokal,Versammlungsraum,Berdychowo 5,Berdychowo 5,Poznań,1893
Tanzlokal,Versammlungsraum,Eichwaldstraße 2,Droga Dębińska 2,Poznań,1893
Tanzlokal,Versammlungsraum,Eichwaldstraße 11,Droga Dębińska 11,Poznań,1893
Concert- und Ballsaal,,Wilhelmstraße 3,Marcinkowskiego 3,Poznań,1893
Tanzsaal,,Berdychowo 4,Berdychowo 4,Poznań,1893
Tanzsaal,,Eichwaldstraße 8,Droga Dębińska 8,Poznań,1893
Tanzsaal,,Wronkerstraße 18,Wroniecka 18,Poznań,1893
Tanzsaal,,Vor dem Berliner Thor 9,Skośna 9,Poznań,1893
Hotel de France,Konzert- und Ballsaal (Hotel de France),Wilhelmstraße 13,Marcinkowskiego 13,Poznań,1893
Konzert- und Ballsaal,,Bismarckstraße 9,Kantaka 9,Poznań,1893
Konzert- und Tanzsaal,,St. Roch 11,Św. Rocha 11,Poznań,1893
Tanzsaal,,St. Roch 2,Św. Rocha 2,Poznań,1893
Collonade,Versammlungsraum,Breslauerstraße 18,Wrocławska 18,Poznań,1893
St. Dalz,Tanzsaal,Vor dem Berliner Thor 8,Skośna 8,Poznań,1893
