name, type, German address, Polish address, city, year
Adamski E.,, Breslauerstr. 18.,Wrocławska 18,Poznan,1896
Bayer J.,, Breitestr. 20.,Wielka 20,Poznan,1896
Beely J. P. & Co,, Wilhelmstrasse 5.,Al. Marcinkowskiego 5,Poznan,1896
Cafe Tivoli - ,, Alter Markt 51.,Stary Rynek 51,Poznan,1896
Dziembowski A.,, Schützenstr. 31.,Strzelecka 31,Poznan,1896
Hyżewicz E.,, Breslauerstr. 30.,Wrocławska 30,Poznan,1896
Jagielski V.,, St. Martinstr. 56.,Św. Marcin 56,Poznan,1896
Kleinert H.,, Thiergartenstr. 8,Zwierzyniecka 8,Poznan,1896
Moszczeńska H.,, Ritterstr. 40,Ratajczaka 40,Poznan,1896
Niewitecki & Go. - ,, Breitestr. 15.,Wielka 15,Poznan,1896
Petras S.,, Sapiehapl. 10b.,Plac Wielkopolski 10b,Poznan,1896
Pfitzner A.,, Alter Markt 6.,Stary Rynek 6,Poznan,1896
Pioterek A.,, St. Martinstr. 67.,Św. Marcin 67,Poznan,1896
Promienska M. v.,, Bäckerstr. 26.,Piekary 26,Poznan,1896
Siebert P.,, St. Martinstr. 52,Św. Marcin 52,Poznan,1896
Stodola.  - H.,, Judenstr. 13/14,Żydowska 13/14,Poznan,1896
Tomski E.,, Krämerstr 16,Kramarska 16,Poznan,1896
Wegner - 8,, Kirchstr. 13,Kościelna 8,Poznan,1896
Weiss H.,, Gr. Gerberstr. 41.,Garbary 41,Poznan,1896
Wiener Cafe - ,, Wilhelmsplatz 4.,Plac Wolnosci 4,Poznan,1896
Wisoeka M.,, Petriplatz 1.,Pl. Wiosny Ludów 1,Poznan,1896
Wolkowitz H.,, Wilhelmspl. 14.,Plac Wolnosci 14,Poznan,1896
Żuromski A.,, Bismarckstr. 9,Kantaka 9,Poznan,1896
