Name,Bezeichnung,Adresse,unnamed (1),unnamed (2),Adresse Poznan,unnamed (3),unnamed (4),unnamed (5),Quelle,Aktenzeichen,Laufzeit
,,Vor dem Berliner Tor 20,,Skośna 20,Skośna 20, Poznań,,,,,,
,,Bäckerstraße 17,,Piekary 17,Piekary 17, Poznań,,,,,,
,,Wilhelmstraße 13,,Marcinkowskiego 13,Marcinkowskiego 13, Poznań,,,,,,
,,Neuestraße 7/8,,Paderewskiego 7/8,Paderewskiego 7/8, Poznań,,,,,,
,,Berlinerstraße 17,,27 Grudnia 17,27 Grudnia 17, Poznań,,,,,,
,,Bismarckstraße 3,,Kantaka 3,Kantaka 3, Poznań,,,,,,
,,Wilhelmstraße 1,,Marcinkowskiego 1,Marcinkowskiego 1, Poznań,,,,,,
,,Krämerstraße 19/20,,Kramarska 19/29,Kramarska 19/29, Poznań,,,,,,
,,Wasserstraße 27,,Wodna 27,Wodna 27, Poznań,,,,,,
,,Breslauerstraße 15,,Wrocławska 15,Wrocławska 15, Poznań,,,,,,
,,Kronprinzenstraße 113,,Górna Wilda 113,Górna Wilda 113, Poznań,,,,,,
,,Eichwaldstraße 7,,Droga Dębińska 7,Droga Dębińska 7, Poznań,,,,,,
,,Eichwaldstraße 10,,Droga Dębińska 10,Droga Dębińska 10, Poznań,,,,,,
,,Eichwaldstraße 11,,Droga Dębińska 11,Droga Dębińska 11, Poznań,,,,,,
,,Eichwaldstraße 1,,Droga Dębińska 1,Droga Dębińska 1, Poznań,,,,,,
,,Flussstraße 2,,Piastowska 2,Piastowska 2, Poznań,,,,,,
,,St. Roch 11,,Św. Rocha 11,Św. Rocha 11, Poznań,,,,,,
,,St. Roch 2,,Św. Rocha 2,Św. Rocha 2, Poznań,,,,,,
,,Kanonierstraße 2,,Piotrowo 2,Piotrowo 2, Poznań,,,,,,
,,Berdychowo 4,,Berdychowo 4,Berdychowo 4, Poznań,,,,,,
,,Thiergartenstraße 10,,Zwierzyniecka 10,Zwierzyniecka 10, Poznań,,,,,,
,,Thiergartenstraße 12,,Zwierzyniecka 12,Zwierzyniecka 12, Poznań,,,,,,
,,Thiergartenstraße 14,,Zwierzyniecka 14,Zwierzyniecka 14, Poznań,,,,,,
,,Marienstraße 5,,Gajowa 5,Gajowa 5, Poznań,,,,,,
,,Hedwigstraße 16,,Kraszewskiego 16,Kraszewskiego 16, Poznań,,,,,,
,,Hedwigstraße 2,,Kraszewskiego 2,Kraszewskiego 2, Poznań,,,,,,
,,Grosse Berlinerstraße 49,,Jana Henryka Dąbrowskiego 49,Jana Henryka Dąbrowskiego 49, Poznań,,,,,,
,,Grosse Berlinerstraße 44,,Jana Henryka Dąbrowskiego 44,Jana Henryka Dąbrowskiego 44, Poznań,,,,,,
,,Posenerstraße 58,,Poznańska 58,Poznańska 58, Poznań,,,,,,
,,Grosse Berlinerstraße 43,,Jana Henryka Dąbrowskiego 5,Jana Henryka Dąbrowskiego 43, Poznań,,,,,,
,,Glogauerstraße 55,,Roosevelta/Głogowska 55,Roosevelta 55, Poznań,,,,,,
,,Glogauerstraße 81,,Roosevelta/Głogowska 81,Roosevelta 81, Poznań,,,,,,
,,St. Lazarusstraße 41,,Głogowska 41,Głogowska 41, Poznań,,,,,,
,,Augustestraße 22,,Niegolewskich 22,Niegolewskich 22, Poznań,,,,,,
