Place Name,Owner,Address,Stadtteil,Polnische Straße,Polnische Adresse
Adamczewski, St., Schlossstr. 4.,,Zamkowa,Zamkowa 4, Poznań
Ahlers, O., Breslauerstr. 15.,,Wrocławska,Wrocławska 15, Poznań
Ahlers, E., Marienstr. 5, J.,Gajowa,Gajowa 5, Poznań
Ahlert, O., Breslauerstr. 37.,,Wrocławska,Wrocławska 37, Poznań
Albrecht, J., Kaiserin Vietoriastrasse 5, J.,Grunwaldzka,Grunwaldzka 5, Poznań
Aring, H., Breitestr. 9.,,Wielka,Wielka 9, Poznań
Aron & Ettisch, , Schlossstr. 7.,,Zamkowa,Zamkowa 7, Poznań
Astmann, Emil, Wallischei 24.,,Chwaliszewo,Chwaliszewo 24, Poznań
Barth, M, Mühlthor 2 (Mühlenpark.),, Brama Młyńska 2,Brama Młyńska 2, Poznań
Bayer, M., Thiergartenstr. 4., J.,Zwierzyniecka,Zwierzyniecka 4, Poznań
Bayerlein, M., Villenstr. 71, W.,Dolna Wilda,Dolna Wilda 71, Poznań
Bernstein, J., Schlossstr. 3.,,Zamkowa,Zamkowa 3, Poznań
Białk, J., Wronkerpl. 7.,,Wolnica,Wolnica 7, Poznań
Binert, St., St. Martinstr. 21.,,Św. Marcin,Św. Marcin 21, Poznań
Brämer, Ch., St. Martinstr. 18,,Św. Marcin,Św. Marcin 18, Poznań
Brauer, E, Warschauerstr. 1.,,Warszawska,Warszawska 1, Poznań
Brodowski, , St. Martinstr. 33.,,Św. Marcin,Św. Marcin 33, Poznań
Burdajewicz, F., Saphiehapl. 7.,,Plac Wielkopolski,Plac Wielkopolski 7, Poznań
Buschke, J., Kronprinzenstr. 1, W.,Górna Wilda,Górna Wilda 1, Poznań
Całka, J., Schuhmacherstr. 20.,,Szewska,Szewska 20, Poznań
Conrad, J., Wiesenstr. 8.,,Łąkowa,Łąkowa 8, Poznań
Czajkowski, A., Halbdorfstr. 12.,,Półwiejska,Półwiejska 12, Poznań
Czerwinski, A., Gr. Berlinerstr. 86, J.,Dąbrowskiego,Dąbrowskiego 86, Poznań
Dartsch, J., Ritterstr. 34.,,Ratajczaka,Ratajczaka 34, Poznań
Deierling, J., Kronprinzenstr. 51, W.,Górna Wilda,Górna Wilda 51, Poznań
Dembiński. ,C., Schlosserstr. 6,,Ślusarska,Ślusarska 6, Poznań
Dobrogowski, F., Posenerstr.12, J.,Poznańska,Poznańska 12, Poznań
Doering, H., Flussstr. 2.,,Piastowska,Piastowska 2, Poznań
Drzewiecki, C., Wallischei 16.,,Chwaliszewo,Chwaliszewo 16, Poznań
Duchowski, A., Berlinerstr. 9.,,27 Grudnia,27 Grudnia 9, Poznań
Dümke, A., Wilhelmspl. 18.,,Pl. Wolnosci,Pl. Wolności 18, Poznań
Embacher, A., Hedwigstr. 30, J.,Kraszewskiego,Kraszewskiego 30, Poznań
Emmerich, E., Bachstr. 22, W.,Gen. Sikorskiego,Gen. Sikorskiego 22, Poznań
Fabich, G., Wasserstr. 9.,,Wodna,Wodna 9, Poznań
Falk, M. W., Berlinerstr. 17.,,27 Grudnia,27 Grudnia 17, Poznań
Fiedler, A., Kronprinzenstr. 18, W.,Górna Wilda,Górna Wilda 18, Poznań
Fierek, B., Glogauerstr. 55, J.,Głogowska,Głogowska 55, Poznań
Filipowicz, L., Breslauerstr. 28/29.,,Wrocławska,Wrocławska 28/29, Poznań
Fischbach, W., Alt. Markt 1.,,Stary Rynek,Stary Rynek 1, Poznań
Franke, A, St. Martinstr. 44.,,Św. Marcin,Św. Marcin 44, Poznań
Fröhlich, A., Wronkerpl. 3.,,Wolnica,Wolnica 3, Poznań
Gałęcki, J., St. Adalbertstr. 2.,,Św. Wojciech,Św. Wojciech 2, Poznań
Garstka, R.,Gr. Gerberstr. 40.,,Garbary,Garbary 40, Poznań
Gerhardt, E., Breslauerstr. 13.,,Wrocławska,Wrocławska 13, Poznań
Goldmann, E., Sapiehapl. 8.,,Plac Wielkopolski,Plac Wielkopolski 8, Poznań
Gollan, J., Kais Friedrichstr. 39, J.,Wawrzyniaka,Wawrzyniaka 39, Poznań
Gottfried, W., Friedrichstr. 26.,,23 lutego,23 lutego 26, Poznań
Gottmann, P., Halbdorfstr. 1.,,Półwiejska,Półwiejska 1, Poznań
Goy, Otto, Friedrichstr. 11.,,23 lutego,23 lutego 11, Poznań
Graetz, St., St. Roch 2.,,Św. Rocha,Św. Rocha 2, Poznań
Grannich, Fr., Wilhelmstr. 20.,,Al. Marcinkowskiego,Al. Marcinkowskiego 20, Poznań
Grosser, A., Halbdorfstr. 13.,,Półwiejska,Półwiejska 13, Poznań
Heintzelmann, R., Zagorze 12.,,Zagorze,Zagórze 12, Poznań
Helmich, Fr., St. Martinstr. 20.,,Św. Marcin,Św. Marcin 20, Poznań
Herforth, J., Gr. Gerberstr. 14.,,Garbary,Garbary 14, Poznań
Heusig, B., Eichwaldstr. 2.,,Droga Dębińska,Droga Dębińska 2, Poznań
Hitze, H., Glogauerstr. 46, J.,Głogowska,Głogowska 46, Poznań
Hoderni, Fr., Judenstr. 13/14.,,Żydowska,Żydowska 13/14, Poznań
Hoedt, W., Büttelstr. 23.,,Woźna,Woźna 23, Poznań
Hoffmann, K., Bergstr. 7.,,Podgórna,Podgórna 7, Poznań
Hoffmann, O., Eichwaldstr. 11.,,Droga Dębińska,Droga Dębińska 11, Poznań
Hollmann, C., Neue Gartenstr. 2, Ba.,Matejki,Matejki 2, Poznań
Jacoby, H., Hedwigstr. 14, J.,Kraszewskiego,Kraszewskiego 14, Poznań
Jankowski. ,St., Wallischei 68.,,Chwaliszewo,Chwaliszewo 68, Poznań
Jarecki, M., Marstallstr. 2.,,Masztalerska,Masztalerska 2, Poznań
Jessel, J. H., Schlossstr. 4.,,Zamkowa,Zamkowa 4, Poznań
Jone, Robert, Alter Markt 31.,,Stary Rynek,Stary Rynek 31, Poznań
Kajkowski, J., Gr. Berlinerstr. 65, J.,Dąbrowskiego,Dąbrowskiego 65, Poznań
Kaluzny, T., Warschauerstr. 5.,,Warszawska,Warszawska 5, Poznań
Kaminski, J., Gr. Gerberstr. 20.,,Garbary,Garbary 20, Poznań
Kernchen, J., Kaiser Friedrichstrasse 17, J.,Wawrzyniaka,Wawrzyniaka 17, Poznań
