Place Name,Owner,Address,Phone Number,Type,unnamed (1),Adressen PLZ
„Thomasbräu“,,,Berliner Str. 10.,,Restaurateure,,27 Grudnia 10 - Poznań
„Weinhaus - Kasino“,,,Bäckerstrasse 19.,,Restaurateure,,Piekary 19 - 61-823 Poznań
„Zur Hütte“,,Wilhelmplatz 7.,,Restaurateure,,Pl. Wolności 7 – 61-738
Adamski, P.,,St. Martinstr. 66/67,,Restaurateure,,Św. Marcin 66/67 – 61-807
Adamski, St.,,Gr. Gerberstr. 44,,Restaurateure,,Garbary 44 – 61-868
Alexiewiez, A.,,Bäckerstr. 18,,Restaurateure,,Piekary 18 - 61-823 Poznań
Alt-Bayern,Inh. M. Schmidt,Wilhelmstr. 7,,Restaurateure,,Al. Marcinkowskiego 7 – 61-827
Alwin, L.,,Wasserstr, 6,,Restaurateure,,Wodna 6 – 61-782
Andersch, P.,,Schifferstr. 1,,Restaurateure,,Szyperska 1 – Poznan
Andersz,,Breslauer Str. 10/11,,Restaurateure,,Wrocławska 10/11 - 61-837 Poznań
Andreas, J.,,Gr. Gerberstr. 41,,Restaurateure,,Garbary 41 – 61-868
Andrót, A.,,Margaretenstr. 1a,,Restaurateure,,Przemysłowa 1a – 61-579
Andrzejewski, W.,,Wallischei 68,,Restaurateure,,Chwaliszewo 68 – 61-105
Antoniewiez, R.,,Büttelstr. 13,,Restaurateure,,Woźna 13 - 61-777 Poznań
Automaten - Restaur.,,Berliner Strasse 6,,Restaurateure,,27 Grudnia 6 Poznań
Automaten - Restaurant,,Alter Markt 38/39,,Restaurateure,,Stary Rynek 38/39 - 61-772 Poznań
Bakowski, A.,,Gurtschiner Str. 15,,Restaurateure,,Górczyńska 15 – Poznan
Balcarowicz, F.,,Kronprinzen-strasse 48,,Restaurateure,,Górna Wilda 48 – 61-565
Bandolin, Kob.,,Hedwigstr. 4,,Restaurateure,,Kraszewskiego 4 – 60-501
Bänsch, R.,,Prinzenstr. 37,,Restaurateure,,Małeckiego 37 – 60-708
Barm, M.,,Petristr. 9,,Restaurateure,,Krysiewicza 9 – 61-825
Bartkiewiez, J.,,St. Martinstr, 3,,Restaurateure,,Św. Marcin 3 – 61-803
Barton, A.,,Gr. Berliner Str. 53/55,,Restaurateure,,Dąbrowskiego 53/55 – Poznan
Bartoszewski,,Halbdorfstr. 2,,Restaurateure,,Półwiejska 2 – 61-888
Bauhütte,,Viktoriastr, 23,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 23 – 61-729
Behenke, M.,,Nollendorfstr. 11,,Restaurateure,,Jackowskiego 11 – 60-512
Behrendt, P.,,Festungsstr. 35,,Restaurateure,,Jeżycka 35 - 60-865 Poznań
Bembenek, W.,,Lazarusstr. 59,,Restaurateure,,Głogowska 59 – 60-702
Bengsch, R.,,Marienstr. 5,,Restaurateure,,Gajowa 5 – 60-815
Beyer, A.,,Alter Markt 29,,Restaurateure,,Stary Rynek 29 - 61-772 Poznań
Beyer, P.,Kaisersaal,Kronprinzenstrasse 97,,Restaurateure,,Górna Wilda 97 – 61-565
Beyer, W.,,Petriplatz 3,,Restaurateure,,Pl. Wiosny Ludu 3 – 61-128
Bibinger, H.,,Breite Str. 17,,Restaurateure,,Wielka 17 - 61-774 Poznań
Bielawski, St.,,Alter Markt 38,,Restaurateure,,Stary Rynek 38 - 61-772 Poznań
Bienert, E.,,Eichwaldstr, 13,,Restaurateure,,Droga Dębińska 13 - Poznań
Biskupski,,Schlossstr. 4,,Restaurateure,,Zamkowa 4 – 61-768
Bogajski,,Posadowskystr. 13,,Restaurateure,,Mostowa 13 – 61-854
Bohn, St.,,St. Roch 11,,Restaurateure,,Św. Rocha 11 – 61-142
Börnig, A.,,Neuer Markt 2,,Restaurateure,,Pl. Kolegiacki 2 – 61-841
Borowiez,,Halbdortstr, 38,,Restaurateure,,Półwiejska 38 – 61-888
Braemer, Ch.,,Augustastr. 3,,Restaurateure,,Niegolewskich 3 - 60-231 Poznań
Bremer Keller,,St.Martinstr.18,,Restaurateure,,Św. Marcin 18 – 61-803
Buhrand, B.,,Hedwigstr. 16,,Restaurateure,,Kraszewskiego 16 – 60-501
Bujakiewicz, J.,,Schützenstr. 12,,Restaurateure,,Strzelecka 25 – 61-845
Burdajewicz, F.,,Schützenstr. 8,,Restaurateure,,Strzelecka 33 – 61-845
Burde, A.,,Unterwilda 63,,Restaurateure,,Dolna Wilda 63 – 61-503
Büttner, B,,Fabrikstr. 34,,Restaurateure,,Fabryczna 34 - 61-523 Poznań
Bytner, O6,,Kaiser -Friedrich-Strasse 4,,Restaurateure,,Wawrzyniaka 4 – 60-505
Centrum - Restaurant,,Alter Markt 8,,Restaurateure,,Stary Rynek 8 - 61-772 Poznań
Chwirot,,Neuer Markt 4,,Restaurateure,,Pl. Kolegiacki 4 – 61-841
Columbia,,Eiehwaldstr. 10,,Restaurateure,,Droga Dębińska 10 - Poznań
Cwiklinski, A.,,Schrodkamarkt 1,,Restaurateure,,Strzelecka 8 – 61-845
Czypulowski, P.,,Buker Str. 23,,Restaurateure,,Bukowska 23 - Poznań
Danderski, M.,,Gneisenaustr, 30,,Restaurateure,,Prądzyńskiego 30 - 61-526 Poznań
Dartsch, J.,,St. Martinstr. 30,,Restaurateure,,Św. Marcin 30 – 61-805
Deimert, H.,,St. Martinstr. 41,,Restaurateure,,Św. Marcin 41 – 61-806
Dembinski,,Schlosserstr. 6,,Restaurateure,,Ślusarska 6 – Poznan
Deregowska,,Wasserstr, 26,,Restaurateure,,Wodna 26 – 61-782
Derpa, J.,,Wallischei 27/28,,Restaurateure,,Chwaliszewo 27/28 – 61-104
Dobak, M.,,Büttelstr. 11,,Restaurateure,,Woźna 11 - 61-777 Poznań
Dolniak, J.,,Kaiser -Wilhelm -Strasse 38,,Restaurateure,,Szamarzewskiego 38 – 60-514
Duchowska, H.,,Wilhelmplatz 5,,Restaurateure,,Pl. Wolności 5 – 61-738
Dudzinski, J.,,Posadowskystr. 34,,Restaurateure,,Mostowa 34 – 61-854
Dunskin,,Moltkestr. 17,,Restaurateure,,Staszica 17 – 60-526
Dux,,Ostrowek 17/18,,Restaurateure,,Ostrówek 17/18 – 61-102
Dykier,,Gerberlamm 25/28,,Restaurateure,,Garbary 25/28 - 61-868 Poznań
Eibel, F.,,St. Roch 2,,Restaurateure,,Św. Rocha 2 – 61-142
Ertel, W.,,Glogauer Str. 73,,Restaurateure,,Roosevelta/Głogowska 73 - 60-809 Poznań
Exner,,Kaiser- Wilhelm-Str, 11,,Restaurateure,,Szamarzewskiego 11 – 60-514
Fechtmeyer, H.,,St. Martinstr. 39,,Restaurateure,,Św. Marcin 39 – 61-806
Feldschloss,,Glogauer Str. 55,,Restaurateure,,Roosevelta/Głogowska 55 - 60-809 Poznań
Fiedler, A.,,Kronprinzenstr, 101,,Restaurateure,,Górna Wilda 101 – 61-565
Fiedler, E.,,Glogauer Str. 53,,Restaurateure,,Roosevelta/Głogowska 53 - 60-809 Poznań
Fischbach, A.,,St. Martinstr, 68,,Restaurateure,,Św. Marcin 68 – 61-807
Fischbach, J.,,Alter Markt 8,,Restaurateure,,Stary Rynek 8 - 61-772 Poznań
Fleischer, R.,,Büttelstr. 2,,Restaurateure,,Woźna 2 - 61-777 Poznań
Foltyn, St.,,Jesuitenstr. 11,,Restaurateure,,Świętosławska 11 – 61-840
