Name,Bezeichnung,Adresse,unnamed (1),unnamed (2),Adresse Poznan,unnamed (3),unnamed (4),unnamed (5),Quelle,Aktenzeichen,Laufzeit
Bazar Saal,Versammlungsaum,Neue Straße,,Paderewskiego 8,Paderewskiego 8, Poznań,,,,,,
Sterns Saal,Versammlungsaum,Wilhelmstraße,,Al. Marcinkowskiego 1,Al. Marcinkowskiego 1, Poznań,,,,,,
polnisches Theater,,,,27 Grudnia 8/10, 61-737 Poznań, Polen,27 Grudnia 8/10, 61-737 Poznań, Polen,,,,,,
Keilers Saal,Versammlungsaum,Krämerstraße 19/20,,Kramarska 19/20,Kramarska 19/20, Poznań,,,,,,
Lambert's Saal,Versammlungsaum,Bäckerstr. 17,,Piekary 17,Piekary 17, Poznań,,,,,,
Herfort,,Wronkerstraße 4,,Wroniecka 4,Wroniecka 4, Poznań,,,,,,
Hotel de Sachs,,Breslauerstraße 15,,Wrocławska 15,Wrocławska 15, Poznań,,,,,,
Tanzsaal,,Eichwaldstraße 1,,Droga Dębińska 1,Droga Dębińska 1, Poznań,,,,,,
Tanzsaal,Versammlungsaum,Wasserstraße 27,,Wodna 27,Wodna 27, Poznań,,,,,,
Saal der Freimaurerloge,,Graben 25,,Grobla 25,Grobla 25, Poznań,,,,,,
Tanzlokal,Versammlungsaum,Vor dem Berliner Thor 6,,Skośna 6,Skośna 6, Poznań,,,,,,
Tanzlokal,Versammlungsaum,Berdychowo 5,,Berdychowo 5,Berdychowo 5, Poznań,,,,,,
Tanzlokal,Versammlungsaum,Eichwaldstraße 2,,Droga Dębińska 2,Droga Dębińska 2, Poznań,,,,,,
Tanzlokal,Versammlungsaum,Eichwaldstraße 11,,Droga Dębińska 11,Droga Dębińska 11, Poznań,,,,,,
Concert- und Ballsaal,,Wilhelmstraße 3,,Marcinkowskiego 3,Marcinkowskiego 3, Poznań,,,,,,
Tanzsaal,,Berdychowo 4,,Berdychowo 4,Berdychowo 4, Poznań,,,,,,
Tanzsaal,,Eichwaldstraße 8,,Droga Dębińska 8,Droga Dębińska 8, Poznań,,,,,,
Tanzsaal,,Wronkerstraße 18,,Wroniecka 18,Wroniecka 18, Poznań,,,,,,
Tanzsaal,,Vor dem Berliner Thor 9,,Skośna 9,Skośna 9, Poznań,,,,,,
Hotel de France,Konzert- und Ballsaal (Hotel de France),Wilhelmstraße 13,,Marcinkowskiego 13,Marcinkowskiego 13, Poznań,,,,,,
Konzert- und Ballsaal,,Bismarckstraße 9,,Kantaka 9,Kantaka 9, Poznań,,,,,,
Konzert- und Tanzsaal,,St. Roch 11,,Św. Rocha 11,Św. Rocha 11, Poznań,,,,,,
Tanzsaal,,St. Roch 2,,Św. Rocha 2,Św. Rocha 2, Poznań,,,,,,
Collonade,Versammlungsraum,Breslauerstraße 18,,Wrocławska 18,Wrocławska 18, Poznań,,,,,,
St. Dalz,Tanzsaal,Vor dem Berliner Thor 8,,Skośna 8,Skośna 8, Poznań,,,,,,
