Name,Bezeichnung,Adresse,unnamed (1),unnamed (2),Adresse Poznan,unnamed (3),unnamed (4),unnamed (5),Quelle,Aktenzeichen,Laufzeit
 Apollotheater, Säle ,Bäckerstrasse Nr. 17,,Piekary 17,Piekary 17, Poznań,,,,A. betr. Säle Bäckerstrasse Nr. 17 /Apollotheater/,53/294/0/3.87/5450,1881-1911
 Stern's Saal, Versamlungsraum Stern's Saal in der, Wilhelmstrasse 1,,Al. Marcinkowskiego 1,Al. Marcinkowskiego 1, Poznań,,,,A. betr. Versamlungsraum Stern's Saal in der Wilhelmstrasse 1,53/294/0/3.87/5451,1881-1919
Bazar, Versamlungsraum Bazar Saal in der, Neuestrasse,,Paderewskiego 8,Paderewskiego 8, Poznań,,,,A. betr. Versamlungsraum Bazar Saal in der Neuestrasse,53/294/0/3.87/5452,1882-1919
Hotel de Sackse, Versamlungsraum des Hotel de Sackse, Breslauerstrasse 15,,Wrocławska 15,Wrocławska 15, Poznań,,,,A. betr. Versamlungsraum des Hotel de Sackse Breslauerstrasse 15,53/294/0/3.87/5453,1883-1919
 Eichwaldstrasse 1, Tanz-Saal in dem Grundstück, Eichwaldstrasse 1,,Droga Dębińska 1,Droga Dębińska 1, Poznań,,,,A. betr. Tanz-Saal in dem Grundstück Eichwaldstrasse 1,53/294/0/3.87/5454,1890-1913
Freimaurer Loge, Saal bezw. Versammlungsraum / / in dem Grundstück, Grabenstrasse 25,,Grobla 25,Grobla 25, Poznań,,,,A. betr. den Saal bezw. Versammlungsraum /Freimaurer Loge/ in dem Grundstück Grabenstrasse 25,53/294/0/3.87/5455,1890-1919
 Berdychowo 5, Tanzsaal in den Grundstück, Berdychowo 5,, Berdychowo 5,Berdychowo 5, Poznań,,,,A. betr. den Tanzsaal in den Grundstück Berdychowo 5,53/294/0/3.87/5456,1890
 Wilhelmstrasse 3, Konzert und Ballsaal in dem Grundstück, Wilhelmstrasse 3,,Al. Marcinkowskiego 3,Al. Marcinkowskiego 3, Poznań,,,,A. betr. den Konzert und Ballsaal in dem Grundstück Wilhelmstrasse 3,53/294/0/3.87/5457,1890-1916
 Berdychowo 4, Tanzsaal in den Grundstück, Berdychowo 4,, Berdychowo 4,Berdychowo 4, Poznań,,,,A. betr. den Tanzsaal in den Grundstück Berdychowo 4,53/294/0/3.87/5458,1890-1917
Hotel de France, Konzert und Ball-Saal in dem Grundstück, Wilhelmstrasse 13 ,,Al. Marcinkowskiego 13,Al. Marcinkowskiego 13, Poznań,,,,A. betr. den Konzert und Ball-Saal in dem Grundstück Wilhelmstrasse 13 /Hotel de France/,53/294/0/3.87/5459,1890-1917
 Bismarckstrasse 9, Konzert und Ball-Saal in dem Grundstück, Bismarckstrasse 9,,Kantaka 9,Kantaka 9, Poznań,,,,A. betr. den Konzert und Ball-Saal in dem Grundstück Bismarckstrasse 9,53/294/0/3.87/5460,1890-1917
Schützenhause -, Konzert und Tanz-Saal in Schützenhause -, St. Roch 11,,Św. Rocha 11,Św. Rocha 11, Poznań,,,,A. betr. den Konzert und Tanz-Saal in Schützenhause - St. Roch 11,53/294/0/3.87/5461,1890-1917
 St. Roch 2, Tanz-Saal in dem Grundstück -, St. Roch 2,,Św. Rocha 2,Św. Rocha 2, Poznań,,,,A. betr. den Tanz-Saal in dem Grundstück - St. Roch 2,53/294/0/3.87/5462,1890-1919
Collonade, Versammlungsraum /, Breslauerstrasse 18,,Wrocławska 18,Wrocławska 18, Poznań,,,,A. betr. den Versammlungsraum /Collonade/ in dem Grundstück Breslauerstrasse 18,53/294/0/3.87/5463,1890-1913
Mylius Hotel, Saal in Mylius Hotel, Wilhelmstrasse 23,,Al. Marcinkowskiego 23,Al. Marcinkowskiego 23, Poznań,,,,A. betr. den Saal in Mylius Hotel Wilhelmstrasse 23,53/294/0/3.87/5464,1900-1917
 Eichwaldstrasse 5, Saal in, Eichwaldstrasse 5,,Droga Dębińska 5,Droga Dębińska 5, Poznań,,,,A. betr. den Saal in Eichwaldstrasse 5,53/294/0/3.87/5465,1890-1912
 Eichwaldstrasse 24, Saal in, Eichwaldstrasse 24,,Droga Dębińska 24,Droga Dębińska 24, Poznań,,,,A. betr. den Saal in Eichwaldstrasse 24,53/294/0/3.87/5466,1890-1913
 Wilhelmstrasse 7, Saal in, Wilhelmstrasse 7,,Al. Marcinkowskiego 7,Al. Marcinkowskiego 7, Poznań,,,,A. betr. den Saal in Wilhelmstrasse 7,53/294/0/3.87/5467,1900-1917
 Wilhelmstrasse 28, Saal in, Wilhelmstrasse 28,,Al. Marcinkowskiego 28,Al. Marcinkowskiego 28, Poznań,,,,A. betr. den Saal in Wilhelmstrasse 28,53/294/0/3.87/5468,1901
Zoologischer Verein, Saal in Zoologischen Vereins,,,Bukowska 19, 60-809 Poznań, Polen,Bukowska 19, 60-809 Poznań, Polen,,,,A. betr. den Saal in Zoologischen Vereins,53/294/0/3.87/5469,1901-1919
 Kronprinzenstrasse 97, Saal und Theaterbühne in, Kronprinzenstrasse 97,,Górna Wilda 97,Górna Wilda 97, Poznań,,,,A. betr. den Saal und Theaterbühne in Kronprinzenstrasse 97,53/294/0/3.87/5470,1906-1919
 Festsaal der Königlichen Akademie, Festsaal der Königlichen Akademie,,,Uniwersytet im. Adama Mickiewicza w Poznaniu, Wieniawskiego 1, 60-702 Poznań, Polen,Uniwersytet im. Adama Mickiewicza w Poznaniu, Wieniawskiego 1, 60-702 Poznań, Polen,,,,A. betr. die Plätzeverteilung p.p in dem Festsaal der Königlichen Akademie, sowie Feuersicherheit,53/294/0/3.87/5471,1910-1917
 Auguste-Viktoriastrasse 3, Saal in, Auguste-Viktoriastrasse 3,,Grunwaldzka 3,Grunwaldzka 3, Poznań,,,,A. betr. den Saal in Auguste-Viktoriastrasse 3,53/294/0/3.87/5472,1911-1919
