name,type,German address,Polish address,city,year, lat, lng
Teatr Apollo,ab 1910 Colosseum,,Św. Marcin 30,1908,52.406490, 16.926503
Park Promenadowy,,,Stanisława Moniuszki,,1903,52.41338, 16.91833
Palast-Theater,,,Plac Wolności 8,,1907,52.40768, 16.92623
Residenz-Theater,,,27 Grudnia,,1907,52.40812, 16.92347
Tonbild,zuerst in ul. Wrocławska,,27 Grudnia 14,,1908,52.40846, 16.92202
Royal Bioskop,zuerst in ul. Wrocławska,,pl. Wiosny Ludów,,1908,52.40547, 16.93022
Grand-Kinematograf,,,Wielka 21,,1908,52.40845, 16.93667
Welttheater,,,Św. Marcin 43,,1909,52.40605, 16.92354
Optyczna Panorama,,,Św. Marcin 45,,?,52.40625, 16.92354
Urania,,,Róg Św. Marcin Ratajczaka,,1909,52.40643, 16.92517
Unia,,,Św. Marcin 13,,1909,52.4055, 16.92878
Lichtbild-Theater,,,Św. Marcin 23,,1909,52.40597, 16.92662

